id,motivo_de_se_considerar_flex,fonteinfo_flex,motivacao,dificuldade,genero,cor_raca,escolaridade
145,"nao vejo minha dieta estando tao atrelada ao consumo de carnes algo que vem da minha propria criacao acho que os brasileiros sao muito dependentes de ter ""mistura"" e isso nao e algo que me afete para mim parece natural nao consumir tanto alem disso vejo que faz bem para o nosso organismo",meus_pais,saude,tipos de comida feitas com alguma carne que eu goste ou com ovos.,mulher_cis,branca,superior
146,porque tenho diminuido o consumo de carne tanto em porcao como em frequencia,escola_universidade,saude,preco acessivel de outros alimentos,pnr,branca,mestrado
147,porque diminui drasticamente o consigo de carne nos últimos 2 anos,midias,impacto_ambiental,memoria afetiva,mulher_cis,branca,superior
148,reduzindo o consumo de carne porem de uma forma radical,essa_pesquisa,saude,nenhuma,mulher_cis,branca,superior
149,comecei a consumir menos carne por causa do financeiro mas depois me acostumei a nao comer carne e passei a pensar mais no sofrimento animal entao atualmente eu substituo pela carne de soja,midias,etica_animal,nenhuma,mulher_cis,branca,medio
150,porque estou em processo para o vegetarianismo tem uns 2 anos mas ainda n consegui ter responsabilidade alimentar o suficiente para o fazer completamente,midias,impacto_ambiental,como encaixar a responsabilidade alimentar no dia a dia e na correria,mulher_cis,parda,medio
151,gostaria de ser vegetariano/vegano mas a praticidade da oferta de alimentos de origem animal acabam retardando minha decisao,amigos,etica_animal,falta de tempo para preparar comida,homem_cis,parda,superior
152,porque nao sinto necessidade em ingerir proteina animal em todas as refeicões e me sinto bem ao conseguir incluir refeicões sem carne ou ate menos sem ingredientes de origem animal no geral,escola_universidade,impacto_ambiental,"no meu espaco de convivencia, carne e mais pratica para consumo, enquanto as refeicões sem carne eu preciso dedicar mais tempo para o preparo",mulher_cis,parda,superior
153,porque como pouca quantidade de proteina animal principalmente carne vermelha nao me apetece muito prefiro legumes e verduras gostaria ate de virar vegetariana,essa_pesquisa,saude,"ter q fazer verduras, legumes e receitas so para mim, pois estragam mais rapido, e fazer comida diferente para os demais da casa.",mulher_cis,amarela,superior
154,porque tenho tido a oportunidade de observar com mais cuidado minhas fontes alimentares e acredito que precisamos contribuir com o meio ambiente em todos os aspctos da cadeia alimentar,escola_universidade,impacto_ambiental,dificuldade em consumir leguminosas,mulher_cis,pnr,superior
155,"tenho vontade de parar de vez o consumo de carne mas ainda acho muito dificil e encontrei assim uma forma de pelo menos diminuir ate o dia em que ""virar a chave"" e eu decida tentar mais a serio ",midias,impacto_ambiental,"pra mim sao dois que andam lado a lado...eu amo carne em qualquer forma de preparo e, hoje, depois de fazer a cirurgia bariatrica ficou muito mais dificil parar de vez, devido a necessidade maior do consumo de proteina e reducao do volume de comida que consigo ingerir.",mulher_cis,branca,superior
156,por ainda me alimentar mesmo que raramente de peixe e camarao,essa_pesquisa,etica_animal,"tempo gasto em produzir meu alimento, a pouca oferta de alimentacao pronta e seu alto custo.",mulher_cis,amarela,mestrado
157,apenas nao gosto muito de carne questao de sabor,outros,religiao,nenhuma,pnr,parda,superior
158,reduzir o  do consumo de carne proporciona menos culpa na dieta,midias,saude,acesso as outras opcões para substituir a carne,mulher_cis,preta,superior
159,nao me considero mas reduzi o consumo de carne pelo preco muito alto e tbm pela saude porque tem muita gordura ne como mais ovo que e bom e tem muita forma de preparar carne mesmo no maximo uma vez na semanaai frango tbm mas menos e peixe mesmo cozinhado so mais na semana santa e cru sushi 1 vez no mes quando sai o salario,midias,saude,nenhuma,homem_cis,branca,superior
160,reduzi drasticamente o consumo de carne mas ainda consumo esporadicamente frango e peixe minha dieta e 95% vegetais,outros,impacto_ambiental,morar com alguem que come carne e ainda ser o cozinheiro da familia.,homem_cis,branca,doutorado
161,acredito que a reducao do consumo de carne pode trazer novas experiencias alimenticias reducao de financeiro financeiro e uma dieta melhor para o meu organismo,midias,saude,variedade de receitas com alimentos que eu ja consumo ou tenho facil acesso,mulher_cis,preta,superior
162,porque a carne ta cara,midias,impacto_ambiental,nao sei,mulher_cis,parda,superior
163,por causa do impacto_ambiental do agronegocio,midias,impacto_ambiental,alcance de proteinas sem introduzir suplemento,mulher_cis,branca,mestrado
164,faz muitos anos que nao compramos carne vermelha em virtude da alta dos precos quando comemos e na casa dos nossos pais as opcões vegetarianas ha uns 4 ou 5 anos passaram a fazer parte mais recorrente da nossa alimentacao normalmente no jantar por nossas 3 filhas serem vegetarianas as vezes acrescentamos proteina animal na nossa parte da receita,outros,saude,"a carne vermelha nao nos falta, as vezes, seria uma opcao para variar o cafe da manha (carne de sol, por exemplo), mas no geral, nao nos falta. sobre reduzir o frango que e a base da nossa proteina, procuramos o porco quando esta com valor acessivel, o peixe nao encaixa no orcamento. por fim, sobre reduzir a proteina animal pela vegetal, as trocas que ja fazemos para nos, ja sao suficientes, nao temos interesse em parar de comer proteina animal.",mulher_cis,parda,superior
165,consciencia ambiental e melhoria da saude,outros,impacto_ambiental,convivio familiar com pessoas que consomem carnes diariamente,mulher_cis,parda,doutorado
166,digestao de carne vermelha lenta,escola_universidade,saude,situacoes sociais,homem_cis,branca,mestrado
167,porque como carne vermelha por semana quando como  o frango tambem tenho reduzido,midias,saude,nenhuma,mulher_cis,branca,mestrado
168,o termo e novo pra mim sigo nessa acredito que no futuro sera necessario,amigos,impacto_ambiental,acesso e vegetais de qualidade e variados,homem_cis,preta,superior
169,nao gosto do sabor da maioria das carnes e devido aos impactos que sua producao tem resolvi comer apenas peixe qdo tenho disponivel,escola_universidade,impacto_ambiental,nao sei preparar outras fontes de proteina,homem_cis,branca,superior
170,nao sinto falta da carne na minha dieta,midias,saude,nenhuma,mulher_cis,parda,superior
171,a reducao do consume de carne melhorou consideravelmente minha saude e estilo de vida,midias,saude,comidas alternativas,mulher_cis,parda,superior
172,para uma melhor qualidade de vida e porque meu medico solicitou a diminuicao do consumo,outros,saude,habito alimentar,pnr,pnr,superior
173,porque reduzi o consumo de carne,escola_universidade,saude,poucas alternativas,homem_cis,parda,superior
174,por fazer pelo menos uma grande refeicao por semana sem carne,escola_universidade,impacto_ambiental,gostar do sabor,mulher_cis,branca,mestrado
175,dieta pos bariatrica,essa_pesquisa,saude,nenhuma,mulher_cis,branca,superior
176,porque nao como carne todos os dias,midias,impacto_ambiental,"saúde, principalmente relativa a deficiencia de ferro. fiquei um tempo sem comer nada de carne e meu corpo ficou ""louco"" por carne vermelha",mulher_cis,branca,superior
177,saude e financeiro,midias,saude,paladar,homem_cis,branca,superior
178,porque como tudo mas a carne para mim nao e indispensavel,midias,saude,nenhuma,mulher_cis,parda,superior
179,reduzi o consumo de carnes por causa de problemas digestivos e tambem pelo dinheiro,outros,saude,gostar do sabor,mulher_cis,branca,superior
180,porque nao como carne todos os dias,amigos,impacto_ambiental,churrascos finais de semana,mulher_cis,branca,superior
181,por estar no processo de reduzir cada vez mais esse consumo de carne,midias,impacto_ambiental,"necessidade que ainda sinto em consumir, especialmente porque o sabor me agrada",mulher_cis,branca,mestrado
182,sei de provaveis maleficios da carne ao organismo entao 1 ou 2x na semana evito a ingestao,amigos,saude,manter uma dieta proteica sem necessidade de suplementar a ausencia de proteina,homem_cis,parda,mestrado
183,nao me sinto bem quando como carne vermelha principalmente tenho pior digestao quando como esses alimentos,midias,saude,"alimentacao do resto dos familiares em casa. uma vez que nao sou eu quem preparo a comida, as vezes como pois e a opcao de proteina que tem",mulher_cis,branca,medio
184,saude quando como carne vermelha me sinto mal do estômago,outros,saude,financeiro,mulher_cis,parda,mestrado
185,faco reducao o maximo que posso,outros,saude,opcões veganas em restaurantes,homem_cis,branca,superior
186,sim,midias,impacto_ambiental,financeiro pouca variedade de produtos sem carne,homem_cis,pnr,superior
187,eu gosto de carne acho necessario para minha dieta mas nao consigo ser vegetariana entao diminui o consumo,amigos,impacto_ambiental,gostar do sabor,mulher_cis,branca,mestrado
188,por varias de dieta as vezes vegetariana e outras vezes excluo consumo so frutos do mar,outros,saude,comer fora de casa,mulher_cis,branca,medio
189,sei que o sistema que alimentacao carnivora nao e saudavel (tanto para os animais  ja que sao mortos quanto para nos) mas ainda nao consegui largar a carne entao tento evitar sempre que posso,midias,etica_animal,"tenho um paladar seletivo, nao consigo comer certos alimentos que substituiriam o valor nutricional da carne",mulher_cis,branca,superior
190,porque tenho reduzido o consumo de carne na alimentacao para melhora de minha saude,escola_universidade,saude,nenhuma,homem_cis,parda,mestrado
191,nao me considero pois amo muito carne mas alem do preco da carne e importante diversificar a alimentacao para que possamos consumir todo tipo de nutriente,meus_pais,saude,substitutos tao bom quanto,homem_cis,parda,superior
192,nao sou,midias,saude,saude,pnr,parda,superior
193,nao me considero,midias,aversao,nenhuma,mulher_cis,parda,medio
194,nao me considero,outros,impacto_ambiental,nenhuma,pnr,branca,superior
195,talvez,escola_universidade,impacto_ambiental,nenhuma,homem_cis,preta,mestrado
196,porque estou retirando a carne gradativamente da minha dieta,midias,etica_animal,gostar do sabor e praticidade. fritar uma carne e mais facil do que preparar receitar vegetarianas. faco atividade fisica. temo ficar sem energia.,homem_cis,branca,mestrado
197,porquestoes de saude e financeiras,meus_pais,saude,"gostaria de adicionar mais opcões como cogumelos a minha dieta, mas o valor nao se adequa a minha renda atual.",homem_cis,branca,mestrado
198,"primeiro porque penso que o consumo de carne animal e muito cruel na producao atual, e tambem porque e um item caro se comparado com outros alimentos da mesa brasileira",escola_universidade,etica_animal,pensar na crueldade com que os animais sao tratados,mulher_cis,parda,mestrado
199,nao me considerava ate conhecer um pouco mais sobre o termo dessa forma fui entendendo principalmente com a ajuda da pesquisadora da presente dissertacao nas aulas que tivemos,amigos,saude,"carne vermelha: não encontro dificuldade. Frango: não saber mais formas de substituir essas proteinas e que meu corpo não demonstre a falta por elas, pois ja tive ha experiencia. Peixe: sem dificuldades",pnr,amarela,mestrado
200,inflacao,midias,nda,substitutos ruins,homem_cis,pnr,mestrado
201,nao sei que sou,escola_universidade,saude,encontrar lugares que vendam dieta alternativa,homem_cis,parda,mestrado
202,porque tento reduzir o consumo de produtos com origem animal,midias,impacto_ambiental,sabor,mulher_cis,parda,superior
203,"porque penso no sofrimento animal, e no impacto_ambiental",escola_universidade,etica_animal,habito alimentar,mulher_cis,parda,doutorado
204,porque eu me sinto um monstro,outros,etica_animal,gostar do sabor,mulher_cis,branca,medio
205,uma alimentacao reduzida em alimentos de origem animal essa estrategia alimentar esta relacionada a preocupacões com a saude,outros,saude,nenhuma,mulher_cis,branca,doutorado
206,tenho desejo de parar de comer carne,escola_universidade,saude,gostar do sabor,mulher_cis,amarela,superior
207,por ter reduzido o consumo de carnes em geral de forma significativa,midias,impacto_ambiental,alternativas saborosas e acessiveis,homem_cis,branca,mestrado
208,as vezes me sinto intolerante ao consumo de carnes,essa_pesquisa,aversao,nenhuma,mulher_cis,branca,superior
209,projeto segundas sem carne,midias,impacto_ambiental,nao sei cozinhar e peco marmita,mulher_cis,branca,superior
210,pelo preco da carne,outros,impacto_ambiental,variar preparacões,mulher_cis,branca,superior
